mission,device_type,percent_of_total_events
CLNM,engine,5.17
CLNM,rocket,2.59
CLNM,satellite,1.72
CLNM,space_prob,0.86
CLNM,spaceship,0.86
CLNM,telescope,1.72
GALXONE,engine,6.03
GALXONE,rocket,2.59
GALXONE,satellite,4.31
GALXONE,space_prob,4.31
GALXONE,spaceship,0.86
GALXONE,telescope,4.31
ORBONE,engine,3.45
ORBONE,rocket,4.31
ORBONE,satellite,5.17
ORBONE,space_prob,3.45
ORBONE,spaceship,2.59
ORBONE,telescope,3.45
TMRS,engine,6.03
TMRS,rocket,1.72
TMRS,satellite,6.03
TMRS,space_prob,1.72
TMRS,spaceship,3.45
TMRS,telescope,6.9
UNKN,unknown,16.38
