mission,device_type,device_status,num_events
CLNM,engine,excellent,1
CLNM,engine,faulty,3
CLNM,engine,good,1
CLNM,engine,killed,1
CLNM,engine,unknown,2
CLNM,engine,warning,2
CLNM,satellite,good,1
CLNM,satellite,unknown,1
CLNM,satellite,warning,1
CLNM,space_prob,faulty,2
CLNM,space_prob,warning,1
CLNM,spaceship,excellent,1
CLNM,spaceship,faulty,3
CLNM,spaceship,good,1
CLNM,spaceship,killed,1
CLNM,spaceship,warning,1
CLNM,telescope,excellent,1
CLNM,telescope,faulty,1
CLNM,telescope,good,1
CLNM,telescope,killed,1
CLNM,telescope,warning,2
GALXONE,engine,excellent,1
GALXONE,engine,good,2
GALXONE,engine,killed,1
GALXONE,engine,unknown,1
GALXONE,engine,warning,2
GALXONE,rocket,faulty,4
GALXONE,rocket,killed,1
GALXONE,rocket,unknown,2
GALXONE,satellite,excellent,1
GALXONE,satellite,faulty,2
GALXONE,satellite,good,1
GALXONE,satellite,killed,1
GALXONE,space_prob,excellent,1
GALXONE,space_prob,good,3
GALXONE,space_prob,killed,1
GALXONE,space_prob,unknown,1
GALXONE,space_prob,warning,3
GALXONE,spaceship,faulty,2
GALXONE,spaceship,good,2
GALXONE,spaceship,killed,1
GALXONE,spaceship,warning,1
GALXONE,telescope,excellent,1
GALXONE,telescope,faulty,1
GALXONE,telescope,killed,1
GALXONE,telescope,unknown,1
GALXONE,telescope,warning,1
ORBONE,engine,excellent,3
ORBONE,engine,faulty,2
ORBONE,engine,good,3
ORBONE,engine,killed,2
ORBONE,rocket,good,1
ORBONE,rocket,killed,2
ORBONE,rocket,unknown,2
ORBONE,rocket,warning,1
ORBONE,satellite,excellent,2
ORBONE,satellite,faulty,1
ORBONE,satellite,killed,2
ORBONE,satellite,unknown,1
ORBONE,space_prob,faulty,1
ORBONE,space_prob,good,1
ORBONE,space_prob,killed,1
ORBONE,space_prob,unknown,2
ORBONE,space_prob,warning,1
ORBONE,spaceship,excellent,2
ORBONE,spaceship,good,3
ORBONE,spaceship,killed,2
ORBONE,spaceship,unknown,2
ORBONE,telescope,excellent,2
ORBONE,telescope,faulty,1
ORBONE,telescope,good,3
ORBONE,telescope,unknown,1
ORBONE,telescope,warning,2
TMRS,engine,faulty,1
TMRS,engine,good,1
TMRS,engine,killed,4
TMRS,engine,unknown,1
TMRS,engine,warning,1
TMRS,rocket,excellent,3
TMRS,rocket,faulty,1
TMRS,rocket,good,2
TMRS,rocket,unknown,2
TMRS,satellite,good,2
TMRS,satellite,unknown,1
TMRS,satellite,warning,1
TMRS,space_prob,excellent,2
TMRS,space_prob,faulty,1
TMRS,space_prob,good,1
TMRS,space_prob,unknown,3
TMRS,space_prob,warning,1
TMRS,spaceship,excellent,2
TMRS,spaceship,faulty,2
TMRS,spaceship,good,1
TMRS,spaceship,killed,4
TMRS,spaceship,warning,1
TMRS,telescope,excellent,2
TMRS,telescope,faulty,1
TMRS,telescope,killed,1
TMRS,telescope,unknown,1
TMRS,telescope,warning,1
UNKN,unknown,unknown,42
