date	mission	device_type	device_status	hash
210625154211	CLNM	space_prob	killed	MjEwNjI1MTU0MjExQ0xOTXNwYWNlX3Byb2JraWxsZWQxNzE5OAo=
210625154211	CLNM	space_prob	excellent	MjEwNjI1MTU0MjExQ0xOTXNwYWNlX3Byb2JleGNlbGxlbnQxMDAyMgo=
210625154211	CLNM	satellite	warning	MjEwNjI1MTU0MjExQ0xOTXNhdGVsbGl0ZXdhcm5pbmc2MDEzCg==
210625154211	CLNM	spaceship	warning	MjEwNjI1MTU0MjExQ0xOTXNwYWNlc2hpcHdhcm5pbmc0NDUyCg==
210625154211	CLNM	space_prob	good	MjEwNjI1MTU0MjExQ0xOTXNwYWNlX3Byb2Jnb29kMjM1NAo=
210625154211	CLNM	space_prob	excellent	MjEwNjI1MTU0MjExQ0xOTXNwYWNlX3Byb2JleGNlbGxlbnQ4NTU4Cg==
210625154211	CLNM	space_prob	killed	MjEwNjI1MTU0MjExQ0xOTXNwYWNlX3Byb2JraWxsZWQyNjgyMgo=
210625154211	CLNM	telescope	warning	MjEwNjI1MTU0MjExQ0xOTXRlbGVzY29wZXdhcm5pbmc4ODU0Cg==
210625154211	CLNM	engine	unknown	MjEwNjI1MTU0MjExQ0xOTWVuZ2luZXVua25vd243ODMwCg==
210625154211	CLNM	spaceship	excellent	MjEwNjI1MTU0MjExQ0xOTXNwYWNlc2hpcGV4Y2VsbGVudDEwMzkwCg==
210625154211	CLNM	telescope	good	MjEwNjI1MTU0MjExQ0xOTXRlbGVzY29wZWdvb2QxNDUxCg==
210625154211	CLNM	telescope	faulty	MjEwNjI1MTU0MjExQ0xOTXRlbGVzY29wZWZhdWx0eTI2NzU2Cg==
210625154211	CLNM	space_prob	killed	MjEwNjI1MTU0MjExQ0xOTXNwYWNlX3Byb2JraWxsZWQyODI4Ngo=
210625154211	CLNM	telescope	unknown	MjEwNjI1MTU0MjExQ0xOTXRlbGVzY29wZXVua25vd243MDc1Cg==
210625154211	CLNM	satellite	faulty	MjEwNjI1MTU0MjExQ0xOTXNhdGVsbGl0ZWZhdWx0eTE5NjQxCg==
210625154211	CLNM	satellite	unknown	MjEwNjI1MTU0MjExQ0xOTXNhdGVsbGl0ZXVua25vd24xODU0Nwo=
210625154211	CLNM	spaceship	faulty	MjEwNjI1MTU0MjExQ0xOTXNwYWNlc2hpcGZhdWx0eTExNzM3Cg==
210625154211	GALXONE	engine	excellent	MjEwNjI1MTU0MjExR0FMWE9ORWVuZ2luZWV4Y2VsbGVudDIyMjkzCg==
210625154211	GALXONE	satellite	warning	MjEwNjI1MTU0MjExR0FMWE9ORXNhdGVsbGl0ZXdhcm5pbmcxMDUyNgo=
210625154211	GALXONE	spaceship	warning	MjEwNjI1MTU0MjExR0FMWE9ORXNwYWNlc2hpcHdhcm5pbmcyMTU4OAo=
210625154211	GALXONE	telescope	warning	MjEwNjI1MTU0MjExR0FMWE9ORXRlbGVzY29wZXdhcm5pbmcyMTk1Mgo=
210625154211	GALXONE	telescope	excellent	MjEwNjI1MTU0MjExR0FMWE9ORXRlbGVzY29wZWV4Y2VsbGVudDgyNTAK
210625154211	GALXONE	spaceship	unknown	MjEwNjI1MTU0MjExR0FMWE9ORXNwYWNlc2hpcHVua25vd24zNzc2Cg==
210625154211	GALXONE	rocket	excellent	MjEwNjI1MTU0MjExR0FMWE9ORXJvY2tldGV4Y2VsbGVudDQyOTAK
210625154211	GALXONE	satellite	good	MjEwNjI1MTU0MjExR0FMWE9ORXNhdGVsbGl0ZWdvb2QxNTU3OQo=
210625154211	GALXONE	engine	faulty	MjEwNjI1MTU0MjExR0FMWE9ORWVuZ2luZWZhdWx0eTMxOTAK
210625154211	GALXONE	rocket	faulty	MjEwNjI1MTU0MjExR0FMWE9ORXJvY2tldGZhdWx0eTExNjMxCg==
